,Prduct_url,title_name,best_price,Vehicle type:,Usage:,Manufacturer:,Width:,Height:,Construction:,Diameter:,Load index:,Speed index:,EAN:,EU tyre label:,Customer reviews:,Runflat:
60,https://www.tyres-online.in/pirelli-p-zero-255-45-zr19-100y--10453130,Pirelli P ZERO 255/45 ZR19 100Y,['26000.0'],Car,Summer,Pirelli,255,45,ZR,19,100,Y,8019227231557,A,D,
61,https://www.tyres-online.in/michelin-pilot-sport-3-235-40-zr18-95y--13066401,Michelin Pilot Sport 3 235/40 ZR18 95Y,['15000.0'],Car,Summer,Michelin,235,40,ZR,18,95,Y,3528706192968,A,E,
62,https://www.tyres-online.in/michelin-pilot-sport-3-235-45-zr19-99w--16675067,Michelin Pilot Sport 3 235/45 ZR19 99W,['21500.0'],Car,Summer,Michelin,235,45,ZR,19,99,W,3528708343672,A,E,
63,https://www.tyres-online.in/michelin-primacy-3-225-55-r17-97y--16609464,Michelin Primacy 3 225/55 R17 97Y,['17500.0'],Car,Summer,Michelin,225,55,R,17,97,Y,3528703516576,A,C,
64,https://www.tyres-online.in/bridgestone-potenza-re-050-a-245-45-r17-99y--11956236,Bridgestone Potenza RE 050 A 245/45 R17 99Y,['12500.0'],Car,Summer,Bridgestone,245,45,R,17,99,Y,3286340270519,C,E,
65,https://www.tyres-online.in/pirelli-cinturato-p7-225-45-r17-91v--8224867,Pirelli Cinturato P7 225/45 R17 91V,['9500.0'],Car,Summer,Pirelli,225,45,R,17,91,V,8019227199956,B,C,
66,https://www.tyres-online.in/pirelli-p-zero-305-30-zr19-102y--225292,Pirelli P ZERO 305/30 ZR19 102Y,['33000.0'],Car,Summer,Pirelli,305,30,ZR,19,102,Y,8019227173796,A,D,
67,https://www.tyres-online.in/pirelli-p-zero-235-35-zr19-91y--1536204,Pirelli P ZERO 235/35 ZR19 91Y,['21000.0'],Car,Summer,Pirelli,235,35,ZR,19,91,Y,,A,F,
68,https://www.tyres-online.in/continental-contisportcontact-5-255-35-r18-94y--11825320,Continental ContiSportContact 5 255/35 R18 94Y,['20750.0'],Car,Summer,Continental,255,35,R,18,94,Y,4019238543353,B,D,
69,https://www.tyres-online.in/pirelli-cinturato-p7-runflat-225-50-r17-94w--3694757,Pirelli Cinturato P7 runflat 225/50 R17 94W,['15500.0'],Car,Summer,Pirelli,225,50,R,17,94,W,8019227230253,B,C,Runflat
